#Elem	FINE_GRID_SCALE	FINE_GMAX	Delta	relDelta	Delta1
Li	2.0	25.186213	nan	nan	nan	
Li	2.5	25.01008	nan	nan	nan	
Li	3.0	24.838772	nan	nan	nan	
Li	3.5	24.672064	nan	nan	nan	
Li	4.0	24.509743	nan	nan	nan	
Li	4.5	24.351612	nan	nan	nan	
Li	5.0	24.197483	nan	nan	nan	
Li	5.5	30.223455	nan	nan	nan	
Li	6.0	30.012096	nan	nan	nan	
As	2.0	20.146175	0.8380914	0.5419846	0.09039441	
As	2.5	20.00529	0.06781004	0.04380524	0.0073053874	
As	3.0	19.868261	0.042287868	0.02730779	0.004553852	
As	3.5	19.734913	0.0016220462	0.0010475924	0.00017469973	
As	4.0	19.605074	0.011500196	0.0074275113	0.0012386427	
As	4.5	19.478586	0.0016292318	0.001052228	0.00017547405	
As	5.0	19.3553	0.0002233655	0.00014426086	2.4057317e-05	
As	5.5	25.182718	0.0028119108	0.001816071	0.00030285295	
As	6.0	25.00661	0.0	0.0	0.0	
Kr	2.0	14.96459	4.9402366	18.330927	2.9061549	
Kr	2.5	14.859939	59.475365	173.79214	39.346424	
Kr	3.0	14.758156	0.4157765	1.5920233	0.2521489	
Kr	3.5	14.659104	1.3385861	5.12104	0.8111502	
Kr	4.0	14.56266	0.043794453	0.16775419	0.026569795	
Kr	4.5	14.468705	0.3449805	1.3209817	0.2092211	
Kr	5.0	14.377129	0.4450541	1.7056686	0.27016848	
Kr	5.5	17.957508	0.47812325	1.8324534	0.29025218	
Kr	6.0	17.831926	0.0	0.0	0.0	
Sb	2.0	16.764507	1.0528907	0.34826952	0.060894147	
Sb	2.5	16.647268	0.018106602	0.0059815645	0.0010456016	
Sb	3.0	16.533243	0.007220023	0.0023851728	0.0004169389	
Sb	3.5	16.422277	0.008196075	0.0027076171	0.0004733058	
Sb	4.0	16.314234	0.006045626	0.0019971894	0.00034911756	
Sb	4.5	16.208977	0.00204999	0.0006772199	0.00011838169	
Sb	5.0	16.106386	0.0029785424	0.0009839698	0.0001720032	
Sb	5.5	20.117407	0.0010438304	0.00034483228	6.0278435e-05	
Sb	6.0	20.809086	0.0	0.0	0.0	
Pt	2.0	16.129057	nan	nan	nan	
Pt	2.5	19.219515	nan	nan	nan	
Pt	3.0	19.08787	nan	nan	nan	
Pt	3.5	18.959759	nan	nan	nan	
Pt	4.0	18.83502	nan	nan	nan	
Pt	4.5	18.713501	nan	nan	nan	
Pt	5.0	18.595058	nan	nan	nan	
Pt	5.5	20.16132	nan	nan	nan	
Pt	6.0	21.621954	nan	nan	nan	
Xe	2.0	12.273971	nan	nan	nan	
Xe	2.5	12.188136	nan	nan	nan	
Xe	3.0	12.104653	nan	nan	nan	
Xe	3.5	12.023411	nan	nan	nan	
Xe	4.0	13.271453	nan	nan	nan	
Xe	4.5	13.185828	nan	nan	nan	
Xe	5.0	13.102371	nan	nan	nan	
Xe	5.5	16.365294	nan	nan	nan	
Xe	6.0	16.250849	nan	nan	nan	
Sc	2.0	19.311213	0.44176885	1.1544803	0.18657985	
Sc	2.5	19.74232	0.18339895	0.4790806	0.07741149	
Sc	3.0	19.607094	0.3586758	0.9404477	0.1519119	
Sc	3.5	19.475498	0.058387645	0.15279476	0.024682188	
Sc	4.0	19.347366	0.20519276	0.5365243	0.086680576	
Sc	4.5	21.625359	0.0063750334	0.016687408	0.0026957495	
Sc	5.0	21.488485	0.084247746	0.22044453	0.035612725	
Sc	5.5	24.139015	0.010113419	0.026472876	0.0042766402	
Sc	6.0	24.677898	0.0	0.0	0.0	
Hf	2.0	20.027048	0.027777115	0.018265959	0.0027937489	
Hf	2.5	19.886993	0.011034275	0.007256304	0.0011098479	
Hf	3.0	19.750776	0.0068281475	0.004490351	0.0006867979	
Hf	3.5	19.618217	0.0005688746	0.0003741128	5.7220605e-05	
Hf	4.0	19.489145	0.00080491067	0.0005293393	8.096255e-05	
Hf	4.5	19.363407	0.0010932408	0.0007189533	0.00010996391	
Hf	5.0	19.466644	0.00052484975	0.00034516028	5.279229e-05	
